fighter,elo
Adlan Amagov,1532.791031980545
Jhonata Diniz,1532.7433912738745
Jose Delgado,1532.7274142789079
Julian Erosa,1532.6920781104404
John Dodson,1532.4210710207437
Dan Ige,1532.2738534647463
Nurullo Aliev,1532.2684177499077
Eduarda Moura,1532.2558192291162
Gleison Tibau,1532.2308784693923
Quillan Salkilld,1532.2084423024876
Jacobe Smith,1532.2035911748465
Ray Borg,1532.17801820118
Da'Mon Blackshear,1532.1331276725655
Phillip Miller,1531.9947895722423
Volkan Oezdemir,1531.9923462284928
Brady Hiestand,1531.9826580576628
Arjan Bhullar,1531.8717884654104
Drew Dober,1531.8560184289056
Kevin Vallejos,1531.7121477984988
Cody Garbrandt,1531.7003124115763
Oumar Sy,1531.6042911638237
Zhang Mingyang,1531.4844938476929
Dean Lister,1531.398489298719
Charlie Campbell,1531.2783974897377
Don Madge,1531.263693206478
Joel Sutton,1531.263693206478
Jacob Volkmann,1531.2229701886818
Mateusz Rebecki,1531.1902868135442
Kaue Fernandes,1531.105066988277
Mauricio Ruffy,1531.0755052090533
Ian Freeman,1531.0389960520492
Brock Lesnar,1531.0244228416802
Claude Patrick,1531.0186146220574
Hyder Amil,1530.9914170116635
Thiago Tavares,1530.9831688784507
Chris Lytle,1530.8915245623937
Tom Nolan,1530.867271410953
Marvin Vettori,1530.7973637608216
Eddie Alvarez,1530.7417174170682
George Sotiropoulos,1530.7296005868775
Frank Mir,1530.6651025659694
Edimilson Souza,1530.6508212913352
Valter Walker,1530.5744093773606
Alex Hunter,1530.528948084379
Changho Lee,1530.5274468876069
Piera Rodriguez,1530.4671286347607
Malcolm Wellmaker,1530.4108444450999
Bryan Caraway,1530.2782986874754
Marcus Davis,1530.2437521427262
Alberto Mina,1530.239484489799
Claudia Gadelha,1530.1047776662608
Luis Saldana,1530.089058651893
Ronnie Lawrence,1529.9842478534047
Jeremy Kennedy,1529.9640446878195
Viscardi Andrade,1529.9323009948323
Julio Arce,1529.8365132549313
Ron Waterman,1529.8289056700019
Marco Tulio,1529.7704619437143
Navajo Stirling,1529.7384422890832
Luis Pena,1529.6949312526776
Jeremiah Wells,1529.6644369597268
Rafael Natal,1529.6132734760192
Cesar Almeida,1529.522507401012
Uros Medic,1529.4875014753259
Sam Hughes,1529.4603843119792
Rodrigo Nascimento,1529.4481887785666
John Moraga,1529.4022844015267
Tom Breese,1529.3929316725864
Alex Perez,1529.3776475563338
Constantinos Philippou,1529.3508081427772
Khaos Williams,1529.2446952947994
Sodiq Yusuff,1529.194394169421
Wang Cong,1528.9169928485594
Ateba Gautier,1528.7894486862738
Albert Tumenov,1528.718141433697
Elijah Smith,1528.6168909964615
Rafa Garcia,1528.5454099907347
Magnus Cedenblad,1528.4981638944907
Hakeem Dawodu,1528.1011492958226
Desmond Green,1527.9838196911824
Gerald Harris,1527.729526119354
Brian Ebersole,1527.7127525219937
Ramazan Emeev,1527.70996822335
Dennis Bermudez,1527.656816094907
Daniel Kelly,1527.563353983867
Oban Elliott,1527.5068202836176
Jamahal Hill,1527.3761694705458
Vladimir Matyushenko,1527.2514920340157
Nicolae Negumereanu,1527.235349792678
Stephan Bonnar,1527.133969712826
King Green,1527.129289552997
Mike Russow,1527.1006732673811
Jordan Leavitt,1526.892883492526
Maurice Smith,1526.7404619830559
Mohammed Usman,1526.40472438685
Karl Williams,1526.19409631581
Kevin Randleman,1526.0947674369686
Ben Rothwell,1525.9618551559258
Lorenz Larkin,1525.7230030005999
Chad Laprise,1525.6654741490165
Vinc Pichel,1525.4271955520958
Alexander Gustafsson,1525.297819402016
Johnny Case,1525.2424277946077
Wilson Gouveia,1525.0715088606783
Robert Peralta,1524.943344004564
Joe Lauzon,1524.7651440396617
Mark Coleman,1524.6451265839396
Cathal Pendred,1524.6212900858688
Phil Rowe,1524.600286552207
Thiago Moises,1524.556200263511
Tim Kennedy,1524.1915634881348
Ricardo Almeida,1524.007522192809
Shi Ming,1524.0
Donghun Choi,1524.0
Nordine Taleb,1523.9807398404494
Alex Morono,1523.8176034832377
Sergio Moraes,1523.7307602326468
Paul Daley,1523.5167487737094
Mirsad Bektic,1523.498397882862
Claudio Puelles,1523.4491580011743
Jordan Mein,1523.4437816077937
Cb Dollaway,1523.3957506108204
Kennedy Nzechukwu,1523.2451153420864
John Makdessi,1523.0327504897375
Jorge Rivera,1522.938803687856
Anthony Smith,1522.2447104321511
Nick Diaz,1522.136488822966
Juan Espino,1521.9682115119965
